0m00s-0m17s.jpg	prawo	# psalmistka przy prawej krawędzi kadru
0m17s-0m28s.jpg	prawo	# tobołek i piórko w prawej części, droga prowadzi w prawo
0m28s-0m43s.jpg	srodek	# otwarte drzwi ze światłem w osi kadru
0m43s-0m56s.jpg	lewo	# drzewo z gniazdem w lewej części, prawa strona otwarte niebo
0m56s-1m10s.jpg	srodek	# dłonie z płomieniem centralnie, kompozycja symetryczna
1m10s-1m27s.jpg	prawo	# słońce i słup odbicia po prawej stronie jeziora
1m27s-1m41s.jpg	srodek	# gniazdo z pisklęciem w osi, kompozycja radialna
1m41s-1m52s.jpg	srodek	# złote serce w centrum
1m52s-2m05s.jpg	srodek	# snop światła z nieba w osi kadru
2m05s-2m19s.jpg	prawo	# głowa owcy-matki w prawej części kadru
2m19s-2m36s.jpg	auto	# abstrakcyjne fale światła bez wyraźnego motywu
2m36s-2m52s.jpg	prawo	# złoty świetlisty filar przy prawej krawędzi
2m52s-3m09s.jpg	srodek	# łuk światła i domek w osi kadru
3m09s-3m25s.jpg	srodek	# piórko opada centralnie między dłonie
3m25s-3m39s.jpg	prawo	# drzewo z gniazdem w prawej części, skrzydło prowadzi ku niemu
3m39s-3m56s.jpg	srodek	# słońce nad doliną i rzeka w osi
3m56s-4m11s.jpg	srodek	# łuna światła nad dachami w osi kadru
4m11s-4m25s.jpg	srodek	# droga z latarniami prowadzi w centralne słońce
4m25s-4m39s.jpg	lewo	# wysoki kwiat w lewej części kadru
4m39s-4m57s.jpg	srodek	# skrzydła zbiegają się w osi, finał pod ekran końcowy
