# Psalm 8 - strony ruchu kadru (Etap 8). Format: nazwa<TAB>lewo|prawo|srodek|auto
# „srodek" = motyw na osi kadru: sam najazd, bez panoramy w bok.
# Ustalone z obejrzenia wszystkich 25 kadrów 2026-08-06.

0m00s-0m18s.jpg	prawo	# psalmistka - twarz i aureola w prawej połowie, lewa strona to same obłoki
0m18s-0m31s.jpg	srodek	# symetryczne sklepienia obłoków, snop światła dokładnie w osi
0m31s-0m45s.jpg	srodek	# radialny wybuch światła w centrum, łąka rozłożona symetrycznie
0m45s-0m59s.jpg	prawo	# słońce i najjaśniejszy blask wyraźnie na prawo od środka
0m59s-1m12s.jpg	srodek	# symetryczny kanion obłoków, postać i prześwit w samej osi
1m12s-1m26s.jpg	srodek	# złote nici spływają środkiem, abstrakcja symetryczna
1m26s-1m40s.jpg	prawo	# dłoń światła wchodzi z prawej góry, chatka przy prawej krawędzi
1m40s-1m54s.jpg	srodek	# księżyc niemal w osi kadru, gwiazdy rozsypane na obie strony
1m54s-2m08s.jpg	srodek	# wielkie serce światła dokładnie w centrum
2m08s-2m22s.jpg	srodek	# blask i biały kwiat w osi, łąka symetryczna
2m22s-2m35s.jpg	prawo	# źródło światła na prawo od środka, kwitnące drzewa w prawym dolnym rogu
2m35s-2m49s.jpg	prawo	# największy złoty rozkwit siedzi w prawej połowie kadru
2m49s-3m03s.jpg	srodek	# schody światła prowadzą środkiem kadru wprost w oś
3m03s-3m16s.jpg	srodek	# dwie dłonie i korona - kompozycja lustrzana, kropla w osi
3m16s-3m30s.jpg	srodek	# dłonie schodzą się w centrum, kamienne obramienie symetryczne
3m30s-3m44s.jpg	srodek	# dwa filary bramy światła po obu stronach osi kadru
3m44s-3m58s.jpg	srodek	# świetlista kolumna uwielbienia w osi, domy rozłożone na obie strony
3m58s-4m11s.jpg	lewo	# stado owiec zajmuje lewą część łąki
4m11s-4m25s.jpg	prawo	# wieloryb i snopy światła w prawej połowie, ciemna fala po lewej
4m25s-4m39s.jpg	srodek	# świt nad morzem, ścieżka światła spływa dokładnie środkiem
4m39s-4m52s.jpg	srodek	# kolumna światła i złota ścieżka w osi, obłoki symetryczne
4m52s-5m06s.jpg	srodek	# wielka tarcza blasku w centrum, płomyk na wzgórzu pod nią w osi
5m06s-5m20s.jpg	srodek	# złoty pierścień śpiewającego stworzenia niemal w osi kadru
5m20s-5m34s.jpg	srodek	# trwający blask w górnej osi, zasłony lat rozłożone symetrycznie
5m34s-5m52s.jpg	srodek	# finał: snop światła i gwiazda w osi, brzegi zostają czyste pod kartę końcową
