# Kierunki ruchu kadru (Etap 8) — Psalm 121 v2
# Format: nazwa-pliku<TAB>lewo|prawo|auto   (# zaczyna komentarz)
# „lewo"/„prawo" = strona, po której siedzi główny motyw; tam pojedzie kadr.
# „auto" = kompozycja symetryczna albo motyw w centrum, nie ma na co jechać —
#          takie kadry dostają strony na przemian.
# Ustalone z obejrzenia wszystkich 29 kadrów.

0m00s-0m16s.jpg	prawo	# psalmistka z aureolą przy prawej krawędzi
0m16s-0m30s.jpg	auto	# snop światła z chmur dokładnie na osi kadru
0m30s-0m44s.jpg	auto	# stopy na kamiennych stopniach w centrum, morze po lewej
0m44s-0m58s.jpg	prawo	# złota lampa zawieszona po prawej stronie
0m58s-1m11s.jpg	auto	# łuk światła nad doliną centralnie, namioty po obu stronach
1m11s-1m25s.jpg	prawo	# ścieżka i drzewo po prawej, światło w prawym górnym narożniku
1m25s-1m39s.jpg	auto	# gołębica w centrum korony ze światła
1m39s-1m50s.jpg	lewo	# PATTERN BREAK — oko spirali lewo od środka
1m50s-2m04s.jpg	auto	# szeroka panorama doliny, słońce i księżyc symetrycznie
2m04s-2m18s.jpg	auto	# wielkie skrzydła symetryczne względem osi
2m18s-2m32s.jpg	prawo	# rozbłysk słońca i złote piórko po prawej stronie
2m32s-2m46s.jpg	lewo	# lampa oliwna na parapecie wyraźnie po lewej
2m46s-2m59s.jpg	auto	# filar światła centralnie, namioty po obu stronach
2m59s-3m13s.jpg	prawo	# słońce i wielki głaz po prawej, kamienie prowadzą w prawo
3m13s-3m27s.jpg	auto	# złote piórko w centrum snopu światła
3m27s-3m38s.jpg	auto	# PATTERN BREAK — kwiat światła, radialna symetria
3m38s-3m52s.jpg	lewo	# postać Jezusa od tyłu, lewo od środka kadru
3m52s-4m05s.jpg	prawo	# świecący dom po prawej stronie drogi
4m05s-4m19s.jpg	auto	# dłoń światła z górami rozłożona centralnie
4m19s-4m33s.jpg	auto	# rozbłysk na osi kadru, chmury po obu stronach
4m33s-4m47s.jpg	auto	# ptaszę w dłoni dokładnie w centrum
4m47s-5m01s.jpg	prawo	# droga zakręca w prawo, stojące kamienie po prawej
5m01s-5m15s.jpg	auto	# pierścień chmur jak korona, symetryczny
5m15s-5m26s.jpg	auto	# PATTERN BREAK — piórko w spokojnym centrum wiru
5m26s-5m39s.jpg	auto	# drzwi domu centralnie, fasada symetryczna
5m39s-5m53s.jpg	lewo	# gołębica wstępująca po lewej stronie
5m53s-6m07s.jpg	auto	# brama światła centralnie, kolumny symetrycznie
6m07s-6m23s.jpg	lewo	# dom przy lewej krawędzi, droga wychodzi od niego
6m23s-6m39s.jpg	lewo	# KADR FINAŁOWY — skrzydło po lewej; ruch w lewo zostawia
			# środek i prawą część czyste pod ekran końcowy YouTube
